number,english,irish
1473,glengarriff crescent,corrán an ghleanna
1474,glengarriff parade,paráid an ghleanna
1475,glenhill avenue,ascaill chnoc an ghleanna
1476,glenhill court,cúirt chnoc an ghleanna
1477,glenhill drive,céide chnoc an ghleanna
1478,glenhill grove,garrán chnoc an ghleanna
1479,glenhill road,bóthar chnoc an ghleanna
1480,glenhill villas,bailtíní chnoc an ghleanna
1481,glenmalure park,páirc ghleann molúra
1482,glenmalure square,cearnóg ghleann molúra
1483,glenmore road,bóthar ghleann mór
1484,glenshesk road,bóthar ghleann seisce
1485,glenties drive,céide na ngleanntach
1486,glenties park,páirc na ngleanntach
1487,glentow road,bóthar ghleann tó
1488,glentworth park,páirc glentworth
1489,glenwood road,bóthar ghleann na coille
1490,glin avenue,ascaill an ghleanna
1491,glin crescent,corrán an ghleanna
1492,glin drive,céide an ghleanna
1493,glin grove,garrán an ghleanna
1494,glin park,páirc an ghleanna
1495,glin road,bóthar an ghleanna
1495,glin court,cuirt an ghleanna
1496,gloucester place,plás gloucester
1497,gloucester place upper,plás gloucester
1498,gloucester street,south sráid gloucester theas
1499,glover’s alley,scabhat an lámhainneora
1500,gofton hall,halla gofton
1501,golden lane,lána an óir
1502,goldenbridge avenue,ascaill an droichid órga
1503,goldenbridge gardens,gairdíní an droichid órga
1504,goldenbridge terrace,ardán an droichid órga
1505,goldenbridge walk,siúlán an droichid órga
1506,goldsmith street,sráid goldsmith
1507,gordon place,plás gordon
1508,gordon street,sráid gordon
1509,gorsefield court,cúirt ghort an aitinn
1510,gortbeg avenue,ascaill an ghoirt bhig
1511,gortbeg drive,céide an ghoirt bhig
1512,gortbeg park,páirc an ghoirt bhig
1513,gortbeg road,bóthar an ghoirt bhig
1514,gortmore avenue,ascaill an ghoirt mhóir
1515,gortmore drive,céide an ghoirt mhóir
1516,gortmore park,páirc an ghoirt mhóir
1517,gortmore road,bóthar an ghoirt mhóir
1518,grace court,cúirt na ngrás
1519,grace park avenue,ascaill pháirc na ngrás
1520,grace park gardens,gairdíní pháirc na ngrás
1521,grace park,heights arda pháirc na ngrás
1522,grace park lawn,plásóg pháirc na ngrás
1523,grace park,meadows cluainte pháirc na ngrás
1524,grace park road,bóthar pháirc na ngrás
1525,grace park terrace,ardán pháirc na ngrás
1526,gracefield avenue,ascaill ghort na ngrás
1527,gracefield court,cúirt ghort na ngrás
1528,gracefield road,bóthar ghort na ngrás
1529,grafton street,sráid grafton
1530,graigue court,cúirt na gráige
1531,granby lane,lána granby
1532,granby place,plás granby
1533,granby row,rae granby
1534,grand canal place,plás na canálach móire
1535,grand canal quay,cé na canálach móire
1536,grand canal street lower,sráid na canálach móire
1537,grand canal street upper,sráid na canálach móire
1537,grand canal street,sráid na canálach móire
1538,grand parade,an pharáid mhór
1539,grange abbey crescent,corrán mhainistir na gráinsí
1540,grange abbey drive,céide mhainistir na gráinsí
1541,grange abbey grove,garrán mhainistir na gráinsí
1542,grange park avenue,ascaill pháirc na gráinsí
1543,grange park close,clós pháirc na gráinsí
1544,grange park crescent,corrán pháirc na gráinsí
1545,grange park drive,céide pháirc na gráinsí
1546,grange park green,faiche pháirc na gráinsí
1547,grange park grove,garrán pháirc na gráinsí
1548,grange park rise,ard pháirc na gráinsí
1549,grange park road,bóthar pháirc na gráinsí
1550,grange park view,radharc pháirc na gráinsí
1551,grange park walk,siúlán pháirc na gráinsí
1552,grange road,bóthar na gráinsí
1553,grangegorman lower,gráinseach ghormáin
1554,grangegorman upper,gráinseach ghormáin
1554,grangegorman,gráinseach ghormáin
1555,grangemore avenue,ascaill na gráinsí móire
1556,grangemore court,cúirt na gráinsí móire
1557,grangemore crescent,corrán na gráinsí móire
1558,grangemore drive,céide na gráinsí móire
1559,grangemore grove,garrán na gráinsí móire
1560,grangemore lawn,plásóg na gráinsí móire
1561,grangemore park,páirc na gráinsí móire
1562,grangemore rise,ard na gráinsí móire
1563,grangemore road,bóthar na gráinsí móire
1564,granite place,plás an eibhir
1565,granite terrace,ardán an eibhir
1566,grantham place,plás grantham
1567,grantham street,sráid grantham
1568,grant’s row,rae an ghróntaigh
1569,grattan court,east cúirt grattan thoir
1570,grattan crescent,corrán grattan
1571,grattan parade,paráid grattan
1572,grattan place,plás grattan
1573,grattan street,sráid grattan
1574,gray square,cearnóg an ghraeigh
1575,gray street,sráid an ghraeigh
1576,great western avenue,ascaill iarnród an iarthair
1577,great western square,cearnóg iarnród an iarthair
1578,great western villas,bailtíní iarnród an iarthair
1579,greek street,sráid na gréigise
1580,green street,sráid na faiche
1581,green street,east sráid na faiche thoir
1582,"green, the",an fhaiche
1583,greencastle avenue,ascaill an chaisleáin ghlais
1584,greencastle crescent,corrán an chaisleáin ghlais
1585,greencastle drive,céide an chaisleáin ghlais
1586,greencastle parade,paráid an chaisleáin ghlais
1587,greencastle park,páirc an chaisleáin ghlais
1588,greencastle road,bóthar an chaisleáin ghlais
1589,greendale avenue,ascaill an ghleanntáin
1590,greendale road,bóthar an ghleanntáin
1591,greenfield crescent,corrán an ghoirt ghlais
1592,greenfield park,páirc an ghoirt ghlais
1593,greenfield place,plás an ghoirt ghlais
1594,greenlea avenue,ascaill an bháin ghlais
1595,greenlea drive,céide an bháin ghlais
1596,greenlea grove,garrán an bháin ghlais
1597,greenlea park,páirc an bháin ghlais
1598,greenlea place,plás an bháin ghlais
1599,greenlea road,bóthar an bháin ghlais
1600,greenmount avenue,ascaill an chnocáin ghlais
1601,greenmount court,cúirt an chnocáin ghlais
1602,greenmount lane,lána an chnocáin ghlais
1603,greenmount road,bóthar an chnocáin ghlais
1604,greenmount square,cearnóg an chnocáin
1605,greenore terrace,ardán an ghrianphoirt
1606,greenville avenue,ascaill greenville
1607,greenville parade,paráid greenville
1608,greenville terrace,ardán greenville
1609,greenwich court,cúirt greenwich
1610,greenwood avenue,ascaill na coille glaise
1611,greenwood close,clós na coille glaise
1612,greenwood court,cúirt na coille glaise
1613,greenwood drive,céide na coille glaise
1614,greenwood lawn,plásóg na coille glaise
1615,greenwood park,páirc na coille glaise
1616,greenwood walk,siúlán na coille glaise
1617,greenwood way,bealach na coille glaise
1618,grenville lane,lána grenville
1619,grenville street,sráid grenville
1620,griffith avenue,ascaill uí ghríofa
1621,griffith close,clós uí ghríofa
1622,griffith court,cúirt uí ghríofa
1623,griffith downs,mulláin uí ghríofa
1624,griffith drive,céide uí ghríofa
1625,griffith parade,paráid uí ghríofa
1626,griffith road,bóthar uí ghríofa
1627,griffith walk,siúlán uí ghríofa
1628,grosvenor court,cúirt grosvenor
1629,grosvenor lane,lána grosvenor
1630,grosvenor park,páirc grosvenor
1631,grosvenor place,plás grosvenor
1632,grosvenor road,bóthar grosvenor
1633,grosvenor square,cearnóg grosvenor
1634,grosvenor villas,bailtíní grosvenor
1635,grove avenue,ascaill an gharráin
1636,grove court,cúirt an gharráin
1637,grove industrial estate,eastát tionscail an gharráin
1638,grove lane,lána an gharráin
1639,grove park,páirc an gharráin
1640,grove park avenue,ascaill pháirc an gharráin
1641,grove park crescent,corrán pháirc an gharráin
1642,grove park drive,céide pháirc an gharráin
1643,grove park road,bóthar pháirc an gharráin
1644,grove road,bóthar an gharráin
1645,"grove, the",an garrán
1646,grove wood,coill an gharráin
1647,gulistan cottages,iostáin gulistan
1648,gulistan place,plás gulistan
1649,gulistan terrace,ardán gulistan
1650,gurteen avenue,ascaill an ghoirtín
1651,gurteen park,páirc an ghoirtín
1652,gurteen road,bóthar an ghoirtín
1653,haddington place,plás haddington
1654,haddington road,bóthar haddington
1655,haddington way,west bealach haddington thiar
1656,haddon court,cúirt uí aidín
1657,haddon park,páirc ui aidín
1658,haddon road,bóthar uí aidín
1659,hagan’s court,cúirt uí ágáin
1660,halliday road,bóthar halliday
1661,halliday square,cearnóg halliday
1662,halpins row,rae uí ailpín
1663,halston street,sráid halston
1664,hamilton court,cúirt hamaltúin
1665,hamilton street,sráid hamaltúin
1666,hammond lane,lána an chrochaire
1667,hammond street,sráid an chrochaire
1668,hampstead avenue,ascaill hampstead
1669,hampstead court,cúirt hampstead
1670,hampstead park,páirc hampstead
1671,hampton court,cúirt hampton
1672,hampton green,faiche hampton
1673,hampton square,cearnóg hampton
1674,hanbury lane,lána hanbury
1675,hannaville park,páirc hannaville
1676,hanover lane,lána hanover
1677,hanover quay,cé hanover
1678,hanover square,cearnóg hanover
1679,hanover street,east sráid hanover thoir
1680,hanover street,west sráid hanover thiar
1681,harbour court,cúirt an chuain
1682,harbourmaster place,plás mháistir an chuain
1683,harcourt lane,lána fhearchair
1684,harcourt road,bóthar fhearchair
1685,harcourt street,sráid fhearchair
1686,harcourt terrace,ardán fhearchair
1687,harcourt terrace lane,lána ardán fhearchair
1688,hardebeck avenue,ascaill hardebeck
1689,hardiman road,bóthar uí argadáin
1690,hardwicke place,plás hardwicke
1691,hardwicke street,sráid hardwicke
1692,harman street,sráid uí argadáin
1693,harmonstown road,bóthar bhaile hearman
1694,harmony avenue,ascaill an chairdis
1695,harmony court,cúirt an chairdis
1696,harmony row,rae an chairdis
1697,harold road,bóthar araild
1698,harold’s cross cottages,iostáin chrois araild
1699,harold’s cross road,bóthar chrois araild
1700,haroldville avenue,ascaill bhailtín araild
1701,harrington street,sráid harrington
1702,harrison row,rae harrison
1703,harry street,sráid harry
1704,harty avenue,ascaill uí artaigh
1705,harty court,cúirt uí artaigh
1706,harty place,plás uí artaigh
1707,hastings street,sráid hastings
1708,hatch lane,lána haiste
1709,hatch place,plás haiste
1710,hatch street lower,sráid haiste
1711,hatch street upper,sráid haiste
1711,hatch street,sráid haiste
1712,havelock place,plás havelock
1713,havelock square,cearnóg havelock
1714,havelock terrace,ardán havelock
1715,"haven, the",an cuan
1716,haverty road,bóthar uí ábhartaigh
1717,hawkins street,sráid hawkins
1718,hawthorn avenue,ascaill na sceiche
1719,hawthorn terrace,ardán na sceiche
1720,hazel lane,lána an choill
1721,hazel park,páirc an choill
1722,hazel road,bóthar an choill
1723,hazelbrook court,cúirt ghlaise an choill
1724,hazelbrook drive,céide ghlaise an choill
1725,hazelbrook road,bóthar ghlaise an choill
1726,hazelcroft gardens,gairdíní chroit an choill
1727,hazelcroft park,páirc chroit an choill
1728,hazelcroft road,bóthar chroit an choill
1729,hazelwood court,cúirt na collchoille
1730,hazelwood drive,céide na collchoille
1731,hazelwood grove,garrán na collchoille
1732,hazelwood park,páirc na collchoille
1733,healy street,sráid uí éalaithe
1734,heaney avenue,ascaill uí éinigh
1735,hendrick place,plás hendrick
1736,hendrick street,sráid hendrick
1737,henrietta lane,lána henrietta
1738,henrietta place,plás henrietta
1739,henrietta street,sráid henrietta
1740,henry place,plás anraí
1741,henry street,sráid anraí
1742,herbert avenue,ascaill hoirbeaird
1743,herbert cottages,iostáin hoirbeaird
1744,herbert lane,lána hoirbeaird
1745,herbert park,páirc hoirbeaird
1746,herbert place,plás hoirbeaird
1747,herbert road,bóthar hoirbeaird
1748,herbert street,sráid hoirbeaird
1749,herberton drive,céide herberton
1750,herberton park,páirc herberton
1751,herberton road,bóthar herberton
1752,heuston square,cearnóg heuston
1753,hewardine terrace,ardán hewardine
1754,heytesbury lane,lána heytesbury
1755,heytesbury street,sráid heytesbury
1756,hibernian avenue,ascaill na nibeirneach
1757,high park,an pháirc ard
1758,high street,an tsráid ard
1759,highfield grove,garrán an ghoirt aird
1760,highfield road,bóthar an ghoirt aird
1761,hill street,sráid an chnoic
1762,hillcrest park,páirc mhullach an chnoic
1763,hogan avenue,ascaill uí ógáin
1764,hogan place,plás uí ógáin
1765,"hole in the wall road, the",bóthar pholl an bhalla
1766,holles place,plás holles
1767,holles row,rae holles
1768,holles street,sráid holles
1769,holly road,bóthar an chuilinn
1770,hollybank avenue lower,ascaill bhruach an chuilinn
1771,hollybank avenue upper,ascaill bhruach an chuilinn
1771,hollybank avenue,ascaill bhruach an chuilinn
1772,hollybank road,bóthar bhruach an chuilinn
1773,hollybrook court drive,céide chúirt shruthán an
1774,hollybrook grove,garrán shruthán an
1775,hollybrook park,páirc shruthán an chuilinn
1776,hollybrook road,bóthar shruthán an chuilinn
1777,hollywood park,páirc choill an chuilinn
1778,holy cross avenue,ascaill na croiche naofa
1779,holyrood park,páirc chroich chríost
1780,holywell avenue,ascaill an tobair naofa
1781,holywell crescent,corrán an tobair naofa
1782,holywell road,bóthar an tobair naofa
1783,home farm park,páirc na buaile
1784,home farm road,bóthar na buaile
1785,home villas,bailtíní an bhaile
1786,hope avenue,ascaill an dóchais
1787,hope street,sráid hope
1788,horton court,cúirt horton
1789,howard street,sráid howard
1790,howth junction cottages,iostáin ghabhal bhinn
1791,howth road,bóthar bhinn éadair
1792,howth view park,páirc radharc bhinn éadair
1793,huband road,bóthar huband
1794,hughes road,east bóthar mhic aodha thoir
1795,hughes road,north bóthar mhic aodha thuaidh
1796,hughes road,south bóthar mhic aodha theas
1797,hume avenue,ascaill hume
1798,hume street,sráid hume
1799,huxley crescent,corrán huxley
1800,hyacinth street,sráid an bhú
1801,imaal road,bóthar ó máil
1802,inagh road,bóthar eidhneach
1803,inchicore parade,paráid inse chór
1804,inchicore road,bóthar inse chór
1805,inchicore square,east cearnóg inse chór thoir
1806,inchicore square,north cearnóg inse chór thuaidh
1807,inchicore square,south cearnóg inse chór theas
1808,inchicore terrace,north ardán inse chór thuaidh
1809,inchicore terrace,south ardán inse chór theas
1810,infirmary road,bóthar na hotharlainne
1811,ingram road,bóthar ingram
1812,inishmaan road,bóthar inis meáin
1813,innisfallen parade,paráid inis faithleann
1814,inns quay,cé na nóstaí
1815,inver road,bóthar inbhir
1816,invermore grove,garrán an inbhir mhóir
1817,inverness road,bóthar inbhear nis
1818,iona crescent,corrán í
1819,iona drive,céide í
1820,iona park,páirc í
1821,iona road,bóthar í
1822,iona villas,bailtíní í
1823,irishtown road,bóthar an bhaile ghaelaigh
1824,irvine cottages,iostáin uí eireamhóin
1825,irvine court,cúirt uí eireamhóin
1826,irvine terrace,ardán uí eireamhóin
1827,irwin court,cúirt uí eireamhóin
1828,irwin street,sráid uí eireamhóin
1829,island street,sráid na hinse
1830,island view,radharc na hinse
1831,island villa,bailtín na hinse
1832,isolda road,bóthar isolda
1833,isolde gardens,gairdíní iosóid
1834,ivar street,sráid íomhair
1835,iveagh gardens,gairdíní uíbh eachach
1836,iveleary road,bóthar uíbh laoire
1837,iveragh court,cúirt uibh ráthach
1838,iveragh road,bóthar uíbh ráthach
1839,ivy court,cúirt an eidhneáin
1840,ivy terrace,ardán an eidhneáin
1841,james larkin road,bóthar shéamais uí lorcáin
1842,james’s place,east plás san séamas thoir
1843,james’s street,sráid san séamas
1844,james’s street,north sráid san séamas thuaidh
1845,jamestown avenue,ascaill bhaile shéamais
1846,jamestown road,bóthar bhaile shéamais
1847,jervis lane upper,lána jervis
1847,jervis lane,lána jervis
1848,jervis street,sráid jervis
1849,john dillon street,sráid sheáin diolúin
1850,john field road,bóthar john field
1851,john mccormack avenue,ascaill sheáin mhic
1852,john street,sráid eoin
1853,john street,north sráid eoin thuaidh
1854,john street,south sráid eoin theas
1855,john’s lane,west lána eoin thiar
1856,johnson court,cúirt mhic sheáin
1857,johnson place,plás mhic sheáin
1858,johnstown park,páirc bhaile sheáin
1859,jones’s road,bóthar mhic sheoin
1860,josephine avenue,ascaill sheosaimhín
1861,joshua lane,lána iósua
1862,joy street,sráid sheoch
1863,joyce road,bóthar an tseoighigh
1864,joyce way,bealach an tseoighigh
1865,kearn’s place,plás uí chiaráin
1866,keeper road,bóthar shliabh coimeálta
1867,kells road,bóthar cheanannais
1868,kellys row,rae uí cheallaigh
1869,kempton avenue,ascaill kempton
1870,kempton court,cúirt kempton
1871,kempton green,faiche kempton
1872,kempton grove,garrán kempton
1873,kempton heath,fraoch kempton
1874,kempton lawn,plásóg kempton
1875,kempton park,páirc kempton
1876,kempton rise,ard kempton
1877,kempton view,radharc kempton
1878,kempton way,bealach kempton
1879,kenilworth lane,lána kenilworth
1880,kenilworth park,páirc kenilworth
1881,kenilworth road,bóthar kenilworth
1882,kenilworth square,east cearnóg kenilworth thiar
1883,kenilworth square,north cearnóg kenilworth
1884,kenilworth square,south cearnóg kenilworth theas
1885,kenmare parade,paráid an neidín
1886,kennedy court,cúirt uí chinnéide
1887,kerlogue road,bóthar kerlogue
1888,kevin street,cross cros-sráid chaoimhín
1889,kevin street lower,sráid chaoimhin
1890,kevin street upper,sráid chaoimhin
1890,kevin street,sráid chaoimhin
1891,kickham road,bóthar chiceam
1892,kilbarrack avenue,ascaill chill bharróg
1893,kilbarrack gardens,gairdíní chill bharróg
1894,kilbarrack grove,garrán chill bharróg
1895,kilbarrack road,bóthar chill bharróg
1896,kilbarron avenue,ascaill chill bharrainn
1897,kilbarron drive,céide chill bharrainn
1898,kilbarron park,páirc chill bharrainn
1899,kilbarron road,bóthar chill bharrainn
1900,kilbride road,bóthar chill bhríde
1901,kildare park,páirc chill dara
1902,kildare road,bóthar chill dara
1903,kildare street,sráid chill dara
1904,kildonan avenue,ascaill chill dónáin
1905,kildonan drive,céide chill dónáin
1906,kildonan road,bóthar chill dónáin
1907,kilfenora drive,céide chill fhionnúrach
1908,kilfenora road,bóthar chill fhionnúrach
1909,kilkieran court,cúirt chill chiaráin
1910,kilkieran road,bóthar chill chiaráin
1911,killala road,bóthar chill ala
1912,killan road,bóthar uí chilleáin
1913,killarney avenue,ascaill chill airne
1914,killarney parade,paráid chill airne
1915,killarney street,sráid chill airne
1916,killary grove,garrán an chaoláire rua
1917,killeen road,bóthar uí chillín
1918,killester avenue,ascaill chill easra
1919,killester court,cúirt chill easra
1920,killester park,páirc chill easra
1921,kilmainham lane,lána chill mhaighneann
1922,kilmore avenue,ascaill na coille móire
1923,kilmore close,clós na coille móire
1924,kilmore crescent,corrán na coille móire
1925,kilmore drive,céide na coille móire
1926,kilmore road,bóthar na coille móire
1927,kilmoroney close,clós chill mhaolruanaidh
1928,kilnamanagh road,bóthar chill na manach
1929,kilshane road,bóthar chill sheáin
1930,kilworth road,bóthar chill uird
1931,kimmage court,cúirt chamaí
1932,kimmage grove,garrán chamaí
1933,kimmage road lower,bóthar chamaí
1934,kimmage road,west bóthar chamaí thiar
1935,kinahan street,sráid uí choinneacháin
1936,kincora avenue,ascaill cheann cora
1937,kincora court,cúirt cheann cora
1938,kincora drive,céide cheann cora
1939,kincora grove,garrán cheann cora
1940,kincora park,páirc cheann cora
1941,kincora road,bóthar cheann cora
1942,king street,north sráid an rí thuaidh
1943,king street,south sráid an rí theas
1944,kingram place,plás kingram
1945,kings avenue,ascaill an rí
1946,king’s inns street,sráid óstaí an rí
1947,kingsland parade,paráid kingsland
1948,kingsland park avenue,ascaill pháirc kingsland
1949,kinvara avenue,ascaill chinn mhara
1950,kinvara drive,céide chinn mhara
1951,kinvara grove,garrán chinn mhara
1952,kinvara park,páirc chinn mhara
1953,kinvara road,bóthar chinn mhara
1954,kippure park,páirc chipiúr
1955,kirwan street,sráid uí chiarabháin
1956,kirwan street cottages,iostáin shráid uí
1957,knights bridge,droichead an ridire
1958,knocknarea avenue,ascaill chnoc na riabh
1959,knocknarea road,bóthar chnoc na riabh
1960,knowth court,cúirt chnóbha
1961,kyleclare road,bóthar kyleclare
1962,kylemore avenue,ascaill na coille móire
1963,kylemore drive,céide na coille móire
1964,kylemore grove,garrán na coille móire
1965,kylemore park,north páirc na coille móire
1966,kylemore park,south páirc na coille móire theas
1967,kylemore park,west páirc na coille móire thiar
1968,kylemore road,bóthar na coille móire
1969,la touche drive,céide la touche
1970,la touche road,bóthar la touche
1971,la vista avenue,ascaill la vista
1972,labre park,páirc labré
1973,lad lane,lána lad
1974,lad lane upper,lána lad
1975,lady’s lane,lána na bantiarna
1976,lagan road,bóthar an lagáin
1977,lakelands park,páirc fhearann an locha
1978,lally road,bóthar uí mhaolalaidh
1979,lamb alley,scabhat an uain
1980,lambay road,bóthar reachrann
1981,lambourne village,sráidbhaile lambourne
1982,lamb’s court,cúirt uí luain
1983,landen road,bóthar landen
1984,landsdowne valley park,páirc ghleann lansdún
1985,langrishe place,plás langrishe
1986,lansdowne hall hall,a lansdún
1987,lansdowne lane,lána lansdún
1988,lansdowne park,páirc lansdún
1989,lansdowne road,bóthar lansdún
1990,lansdowne square,cearnóg lansdún
1991,lansdowne village,sráidbhaile lansdún
1992,laracor gardens,gáirdíní láithreach cora
1993,laragh close,clós láithrigh
1994,laragh grove,garrán láithrigh
1995,larch grove,garrán na learóige
1996,larkfield avenue,ascaill ghort na fuiseoige
1997,larkfield gardens,gairdíní ghort na fuiseoige
1998,larkfield grove,garrán ghort na fuiseoige
1999,larkfield park,páirc ghort na fuiseoige
2000,larkhill road,bóthar chnoc na fuiseoige
2001,laundry lane,lána an níocháin
2002,"laurels, the",na labhrais
2003,lavarna grove,garrán leathbhearna
2004,lavarna road,bóthar leathbhearna
2005,laverty court,cúirt uí laibheartaigh
2006,lavery avenue,ascaill uí laibheartaigh
2007,"lawn, the",an phlásóg
2008,lawrence grove,garrán labhráis
2009,le fanu drive,céide le fanu
2010,le fanu road,bóthar le fanu
2011,le vere terrace,ardán le vere
2012,lea crescent,corrán an bháin
2013,lea road,bóthar an bháin
2014,leahy’s terrace,ardán uí laocha
2015,lee road,bóthar na laoi
2016,leeson close,clós líosain
2017,leeson lane,lána líosain
2018,leeson park,páirc líosain
2019,leeson park avenue,ascaill pháirc líosain
2020,leeson place,plás líosain
2021,leeson street lower,sráid líosain
2022,leeson street upper,sráid líosain
2022,leeson street,sráid líosain
2023,leeson village,sráidbhaile líosain
2024,leicester avenue,ascaill leicester
2025,leicester court,cúirt leicester
2026,leighlin road,bóthar leithghlinne
2027,lein gardens,gairdíní loch léin
2028,lein park,páirc loch léin
2029,lein road,bóthar loch léin
2030,leinster avenue,ascaill laighean
2031,leinster lane,lána laighean
2032,leinster market,margadh laighean
2033,leinster park,páirc laighean
2034,leinster place,plás laighean
2035,leinster road,bóthar laighean
2036,leinster road,west bóthar laighean thiar
2037,leinster square,cearnóg laighean
2038,leinster street,east sráid laighean thoir
2039,leinster street,north sráid laighean thuaidh
2040,leinster street,south sráid laighean theas
2041,leitrim place,plás liatroma
2042,leix road,bóthar laoise
2043,lemon street,sráid lemon
2044,lennox place,plás lennox
2045,lennox street,sráid lennox
2046,lennox terrace,ardán lennox
2047,lentisk lawn,plásóg an chrann
2048,leo avenue,ascaill leo
2049,leo street,sráid leo
2050,leslie’s buildings,foirgnimh leaslaoi
2051,leukos road,sráid leukos
2052,liberty lane,lána na saoirse
2053,liffey street lower,sráid na life
2054,liffey street,south sráid na life theas
2055,liffey street upper,sráid na life
2056,liffey street,west sráid na life thiar
2057,lime street,sráid an aoil
2058,limekiln lane,lána na tiníleach
2059,limewood avenue,ascaill choill na teile
2060,limewood court,cúirt choill na teile
2061,limewood park,páirc choill na teile
2062,limewood road,bóthar choill na teile
2063,lincoln lane,lána lincoln
2064,lincoln place,plás lincoln
2065,lindsay grove,garrán lindsay
2066,lindsay road,bóthar lindsay
2067,linenhall parade,paráid halla an línéadaigh
2068,linenhall street,sráid halla an línéadaigh
2069,linenhall terrace,ardán halla an línéadaigh
2070,lisburn street,sráid lios na gcearrbhach
2071,liscannor road,bóthar lios ceannúir
2072,lisle road,bóthar lisle
2073,lismeen court,cúirt lios mín
2074,lismore road,bóthar leasa móire
2075,lissadel avenue,ascaill lios an daill
2076,lissadel court,cúirt lios an daill
2077,lissadel drive,céide lios an daill
2078,lissadel green,faiche lios an daill
2079,lissadel road,bóthar lios an daill
2080,lissenfield gort,lisín
2081,little britain street,sráid na breataine bheag
2082,little fitzwilliam place,plás mhic liam beag
2083,little green street,sráid na faiche bige
2084,litton lane,lána litton
2085,loftus lane,lána loftus
2086,lombard court,cúirt lombard
2087,lombard street,east sráid lombard thoir
2088,lombard street,west sráid lombard thiar
2089,lomond avenue,ascaill loch laomainn
2090,londonbridge drive,céide dhroichead londan
2091,londonbridge road,bóthar dhroichead londan
2092,long lane,an lána fada
2093,long mile road,bóthar an mhíle fhada
2094,longford lane,lána an longfoirt
2095,long’s place,plás uí longáin
2096,longwood avenue,ascaill na coille fada
2097,lorcan avenue,ascaill lorcáin
2098,lorcan crescent,corrán lorcáin
2099,lorcan drive,céide lorcáin
2100,lorcan green,faiche lorcáin
2101,lorcan grove,garrán lorcáin
2102,lorcan o’toole park,páirc lorcáin uí thuathail
2103,lorcan park,páirc lorcáin
2104,lorcan road,bóthar lorcáin
2105,lorcan villas,bailtíní lorcáin
2106,lord edward street,sráid an tiarna éadbhard
2107,lords’ walk,siúlán na dtiarnaí
2108,loreto road,bóthar loreto
2109,lorne terrace,ardán lorne
2110,lough conn avenue,ascaill loch con
2111,lough conn drive,céide loch con
2112,lough conn road,bóthar loch con
2113,lough conn terrace,ardán loch con
2114,lough derg road,bóthar loch deirgirt
2115,lourdes road,bóthar lourdes
2116,love lane,east lána na suiríoch thoir
2117,lower glen road,bóthar an ghleanna
2118,luby road,bóthar uí lúbaigh
2119,lucan road,old seanbhóthar leamhcáin
2120,luke street,sráid luke
2121,lullymore terrace,ardán loilíoch mór
2122,lurgan street,sráid na lorgan
2123,lynch’s lane,lána uí loingsigh
2124,mabbot lane,lána mabbot
2125,mabel street,sráid mháible
2126,macken street,sráid uí mhaicín
2127,mackies place,plás uí mhacaí
2128,macroom avenue,ascaill mhaigh chromtha
2129,macroom road,bóthar mhaigh chromtha
2130,madden road,bóthar uí mhadáin
2131,madison road,bóthar madison
2132,magennis place,plás mhic aonghasa
2133,magennis square,cearnóg mhic aonghasa
2134,magenta crescent,corrán magenta
2135,magenta hall hall,a magenta
2136,maiden row,rae na maighdine
2137,main street,an tsráid mhór
2138,malachi place,plás mhaolmhaodhóg
2139,malachi road,bóthar mhaolmhaodhóg
2140,malahide road,bóthar mhullach íde
2141,mallin avenue,ascaill uí mhealláin
2142,malone gardens,gairdíní uí mhaoileoin
2143,malpas place,plás malpas
2144,malpas street,sráid malpas
2145,malpas terrace,ardán malpas
2146,mander’s terrace,ardán mander
2147,mangerton road,bóthar na mangartan
2148,mannix road,bóthar uí mhainchín
2149,manor drive,céide an mhainéir
2150,manor place,plás an mhainéir
2151,manor street,sráid an mhainéir
2152,maolbuille road,bóthar mhaolbuille
2153,maple drive,céide na mailpe
2154,margaret place,plás mhaighréide
2155,marguerite road,bóthar mhaighréide
2156,marigold avenue,ascaill an ór muire
2157,marigold court,cúirt an ór muire
2158,marigold grove,garrán an ór muire
2159,marigold road,bóthar an ór muire
2160,marine drive,céide na mara
2161,marino avenue,ascaill marino
2162,marino crescent,corrán marino
2163,marino green,faiche marino
2164,marino park,páirc marino
2165,marino park avenue,ascaill pháirc marino
2166,marion villas,bailtíní mhuire
2167,mark street,sráid mharcais
2168,market street,south sráid an mhargaidh theas
2169,mark’s alley,west scabhat mharcais thiar
2170,mark’s lane,lána mharcais
2171,marlborough place,plás mhaoilbhríde (36e2)
2172,marlborough road,bóthar marlborough
2173,marlborough street,sráid mhaoilbhríde (36d2)
2174,marne villas,bailtíní marne
2175,marrowbone lane,lána mhuire mhaith
2176,marrowbone lane close,clós lána mhuire mhaith
2177,marshal lane,lána mharascail
2178,martello mews,eachlann martello
2179,martello view,radharc martello
2180,martello wood,coill martello
2181,martin grove,garrán mháirtín
2182,martin savage park,páirc mháirtín sabhaois
2183,martin street,sráid an mháirtínigh
2184,martin’s row,rae an mháirtínigh
2185,mary street,sráid mhuire
2186,mary street,little sráid mhuire bheag
2187,maryfield avenue,ascaill ghort mhuire
2188,maryfield crescent,corrán ghort mhuire
2189,maryfield drive,céide ghort mhuire
2190,mary’s lane,lána mhuire
2191,maryville road,bóthar maryville
2192,mask avenue,ascaill loch measca
2193,mask crescent,corrán loch measca
2194,mask drive,céide loch measca
2195,mask green,faiche loch measca
