number,english,irish
245,barry avenue,ascaill an bharraigh
246,barry close,clós an bharraigh
247,barry drive,céide an bharraigh
248,barry green,faiche an bharraigh
249,barry park,páirc an bharraigh
250,barry road,bóthar an bharraigh
251,barryscourt road,bóthar chúirt an bharraigh
252,basin street lower,sráid an taiscumair
253,basin street upper,sráid an taiscumair
254,bass place,plás bass
255,bath avenue,ascaill na bhfolcadán
256,bath avenue gardens,gairdíní ascaill na
257,bath avenue place,plás ascaill na bhfolcadán
258,bath lane,lána na bhfolcadán
259,bath street,sráid na bhfolcadán
260,baymount park,páírc chnocán an chuain
261,bayview avenue,ascaill radharc an chuain
262,beach avenue,ascaill an chladaigh
263,beach drive,céide an chladaigh
264,beach road,bóthar an chladaigh
265,beatty’s avenue,ascaill an bhiataigh
266,beaumont crescent,corrán beaumont
267,beaumont grove,garrán beaumont
268,beaumont road,bóthar beaumont
269,beauvale park,páírc beauvale
270,beaver close,clós na mbéabhar
271,beaver row,rae na mbéabhar
272,beaver street,sráid na mbéabhar
273,beckett way,bealach bheicéid
274,bedford row,rae bedford
275,beech hill avenue,ascaill chnoc na feá
276,beech hill crescent,corrán chnoc na feá
277,beech hill drive,céide chnoc na feá
278,beech hill road,bóthar chnoc na feá
279,beech hill terrace,ardán chnoc na feá
280,beech hill villas,bailtíní chnoc na feá
281,"beeches, the",na feánna
282,beechbrook grove,garrán shruthán na feá
283,beechdale mews,eachlann ghleanntán na fea
284,beechlawn avenue,ascaill phlásóg na feá
285,beechlawn close,clós phlásóg na feá
286,beechlawn green,faiche phlásóg na feá
287,beechlawn grove,garrán phlásóg na feá
288,beechlawn way,bealach phlasóg na feá
289,beechmount court,cúirt chnocán na feá
290,beechpark avenue,ascaill pháirc na feá
291,beechpark court,cúirt pháirc na feá
292,beechwood avenue lower,ascaill choill na feá
293,beechwood avenue upper,ascaill choill na feá
294,beechwood park,páirc choill na feá
295,beechwood road,bóthar choill na feá
296,belcamp avenue,ascaill belcamp
297,belcamp crescent,corrán belcamp
298,belcamp gardens,gairdíní belcamp
299,belcamp green,faiche belcamp
300,belcamp grove,garrán belcamp
301,belcamp lane,lána belcamp
302,belclare avenue,ascaill bhéal chláir
303,belclare crescent,corrán bhéal chláir
304,belclare drive,céide bhéal chláir
305,belclare green,faiche bhéal chláir
306,belclare grove,garrán bhéal chláir
307,belclare park,páirc bhéal chláir
308,belclare terrace,ardán bhéal chláir
309,belclare way,bealach bhéal chláir
310,belgrave avenue,ascaill belgrave
311,belgrave place,plás belgrave
312,belgrave road,bóthar belgrave
313,belgrave square,east cearnóg belgrave thoir
314,belgrave square,north cearnóg belgrave thuaidh
315,belgrave square,south cearnóg belgrave theas
316,belgrave square,west cearnóg belgrave thiar
317,belgrave view,radharc belgrave
318,belgrove lawn,plásóg belgrove
319,belgrove park,páirc belgrove
320,belgrove road,bóthar belgrove
321,bella avenue,ascaill bella
322,bella place,plás bella
323,bella street,sráid bella
324,belleville avenue,ascaill belleville
325,bellevue avenue,ascaill bellevue
326,bellevue park avenue,ascaill pháirc bellevue
327,bellmans walk,siúlán an chlogaire
328,bell’s lane,lána bell
329,belmont avenue,ascaill belmont
330,belmont gardens,gairdíní belmont
331,belmont park,páirc belmont
332,belmont place,plás belmont
333,belmont villas,bailtíní belmont
334,belton park avenue,ascaill pháirc bhéalatúin
335,belton park gardens,gairdíní pháirc bhéalatúin
336,belton park road,bóthar pháirc bhéalatúin
337,belton park villas,bailtíní pháirc bhéalatúin
338,belvedere avenue,ascaill belvedere
339,belvedere court,cúirt belvedere
340,belvedere place,plás belvedere
341,belvedere road,bóthar belvedere
342,ben edair road,bóthar bhinn éadair
343,benbulbin avenue,ascaill bhinn ghulbain
344,benbulbin road,bóthar bhinn ghulbain
345,benburb street,sráid na binne boirbe
346,beneavin court,cúirt bhinn aoibhinn
347,beneavin drive,céide bhinn aoibhinn
348,beneavin park,páirc bhinn aoibhinn
349,beneavin road,bóthar bhinn aoibhinn
350,benmadigan road,bóthar bhinn mhadagáin
351,benson street,sráid benson
352,beresford avenue,ascaill beresford
353,beresford green,faiche beresford
354,beresford lane,lána beresford
355,beresford lawn,plásóg beresford
356,beresford place,plás beresford
357,beresford street,sráid beresford
358,berkeley avenue,ascaill berkeley
359,berkeley place,plás berkeley
360,berkeley road,bóthar berkeley
